path,category_folder,filename,sample_rate_hz,channels,bit_depth_bytes,duration_seconds,size_bytes,sha256_16,bpm,key_or_note
Samples/Atmos/Ashfall_Drone_Bed_90BPM.wav,Atmos,Ashfall_Drone_Bed_90BPM.wav,48000,2,4,10.667,4096044,2baa396bb43111cc,90,
Samples/Atmos/Cathedral_Fog_Bed_100BPM.wav,Atmos,Cathedral_Fog_Bed_100BPM.wav,48000,2,4,9.6,3686444,1dd87b79bb8d3bf9,100,
Samples/Bass/Acid_Furnace_Line_132BPM.wav,Bass,Acid_Furnace_Line_132BPM.wav,48000,2,4,7.273,2792764,621562a28278d89b,132,
Samples/Bass/Catacomb_Growl_130BPM.wav,Bass,Catacomb_Growl_130BPM.wav,48000,2,4,7.385,2835732,9588f3e478d0d0dd,130,
Samples/Bass/Granite_Subline_140BPM.wav,Bass,Granite_Subline_140BPM.wav,48000,2,4,6.857,2633180,ccc99d56d7ff4413,140,
Samples/Bass/Monument_Sub_Hook_100BPM.wav,Bass,Monument_Sub_Hook_100BPM.wav,48000,2,4,9.6,3686444,5ce370d5d3e161dc,100,
Samples/Bass/Night_Engine_Bass_120BPM.wav,Bass,Night_Engine_Bass_120BPM.wav,48000,2,4,8.0,3072044,71b284c8c76f0105,120,
Samples/Bass/Night_Reese_Run_128BPM.wav,Bass,Night_Reese_Run_128BPM.wav,48000,2,4,7.5,2880044,56ea1308a5d80e15,128,
Samples/Bass/Obsidian_Sub_March_140BPM.wav,Bass,Obsidian_Sub_March_140BPM.wav,48000,2,4,6.857,2633180,8f5ca1d3d2c7a74a,140,
Samples/Bass/Steel_Engine_Riff_150BPM.wav,Bass,Steel_Engine_Riff_150BPM.wav,48000,2,4,6.4,2457644,1b3f826e65e0fc52,150,
Samples/Bass/Titan_Gritline_140BPM.wav,Bass,Titan_Gritline_140BPM.wav,48000,2,4,6.857,2633180,476779cb2a1facbd,140,
Samples/Bass/Velvet_Plucked_Bass_118BPM.wav,Bass,Velvet_Plucked_Bass_118BPM.wav,48000,2,4,8.136,3124108,848cc5cd7f6eb529,118,
Samples/Drums/Ruin_March_Drums_120BPM.wav,Drums,Ruin_March_Drums_120BPM.wav,48000,2,4,8.0,3072044,5e418e46a44f464a,120,
Samples/Drums/Titan_Pulse_Drums_140BPM.wav,Drums,Titan_Pulse_Drums_140BPM.wav,48000,2,4,6.857,2633180,f5688d1d44ae47d9,140,
Samples/E-Banjo/Black_Marrow_Electric_Picking_130BPM.wav,E-Banjo,Black_Marrow_Electric_Picking_130BPM.wav,48000,2,4,7.385,2835732,dbe61f56a219ac15,130,
Samples/E-Banjo/Cathedral_Electric_Tremor_95BPM.wav,E-Banjo,Cathedral_Electric_Tremor_95BPM.wav,48000,2,4,10.105,3880460,09223a8db901b296,95,
Samples/E-Banjo/Midnight_Electric_Triptych_88BPM.wav,E-Banjo,Midnight_Electric_Triptych_88BPM.wav,48000,2,4,10.909,4189132,40e6f4fe5210b71d,88,
Samples/E-Banjo/Obsidian_Hollows_Electric_Arp_110BPM.wav,E-Banjo,Obsidian_Hollows_Electric_Arp_110BPM.wav,48000,2,4,8.727,3351316,3c0e73af04697cce,110,
Samples/E-Banjo/Ritual_Ash_Electric_Pulse_120BPM.wav,E-Banjo,Ritual_Ash_Electric_Pulse_120BPM.wav,48000,2,4,8.0,3072044,1c75d54c29e9adfe,120,
Samples/E-Banjo/Veilglass_Electric_Harmonics_140BPM.wav,E-Banjo,Veilglass_Electric_Harmonics_140BPM.wav,48000,2,4,6.857,2633180,f4dd47011e4f449c,140,
Samples/Full_Loops/Obsidian_Menu_Loop_01_Ashen_Threshold_76BPM_Am.wav,Full_Loops,Obsidian_Menu_Loop_01_Ashen_Threshold_76BPM_Am.wav,44100,1,2,25.443,2244128,c87b70a74873cce3,76,Am
Samples/Full_Loops/Obsidian_Menu_Loop_02_Hollow_Cathedral_72BPM_Dm.wav,Full_Loops,Obsidian_Menu_Loop_02_Hollow_Cathedral_72BPM_Dm.wav,44100,1,2,26.847,2367920,9df8c35712cea618,72,Dm
Samples/Full_Loops/Obsidian_Menu_Loop_03_Sovereign_Embers_68BPM_Em.wav,Full_Loops,Obsidian_Menu_Loop_03_Sovereign_Embers_68BPM_Em.wav,44100,1,2,28.415,2506272,2555a18b0b8a92a9,68,Em
Samples/Full_Loops/Obsidian_Menu_Loop_04_Blessed_Ruin_80BPM_Gm.wav,Full_Loops,Obsidian_Menu_Loop_04_Blessed_Ruin_80BPM_Gm.wav,44100,1,2,24.18,2132720,d6808613c6e56915,80,Gm
Samples/Full_Loops/Obsidian_Menu_Loop_07_Black_Vesper_66BPM_Fm.wav,Full_Loops,Obsidian_Menu_Loop_07_Black_Vesper_66BPM_Fm.wav,44100,1,2,29.191,2574680,05efeffb0943850a,66,Fm
Samples/Full_Loops/Obsidian_Menu_Loop_08_Grave_Aurora_78BPM_D#m.wav,Full_Loops,Obsidian_Menu_Loop_08_Grave_Aurora_78BPM_D#m.wav,44100,1,2,24.715,2179936,cca60f3c99f44ac1,78,D#m
Samples/Full_Loops/Obsidian_Menu_Loop_09_Throne_of_Thorns_64BPM_G#m.wav,Full_Loops,Obsidian_Menu_Loop_09_Throne_of_Thorns_64BPM_G#m.wav,44100,1,2,30.1,2654864,92fb090afea7f450,64,G#m
Samples/Full_Loops/Obsidian_Menu_Loop_10_Oblivion_Gate_82BPM_C#m.wav,Full_Loops,Obsidian_Menu_Loop_10_Oblivion_Gate_82BPM_C#m.wav,44100,1,2,23.515,2074032,e821c2b4a7d7538d,82,C#m
Samples/Full_Loops/Obsidian_Menu_Loop_11_Ancient_Cinders_71BPM_A#m.wav,Full_Loops,Obsidian_Menu_Loop_11_Ancient_Cinders_71BPM_A#m.wav,44100,1,2,27.142,2393984,051ddebb4ee3d706,71,A#m
Samples/Full_Loops/Obsidian_Menu_Loop_12_Starless_Sanctum_69BPM_Ebm.wav,Full_Loops,Obsidian_Menu_Loop_12_Starless_Sanctum_69BPM_Ebm.wav,44100,1,2,27.926,2463120,37ca7c5f732db0d9,69,Ebm
Samples/Melodic/Chrome_Veil_Arp_140BPM.wav,Melodic,Chrome_Veil_Arp_140BPM.wav,48000,2,4,6.857,2633180,0e9071682b166ffe,140,
